"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ZYDUSWELL","EQ","12-Dec-2024","2,053.70","2,040.10","2,082.50","2,010.00","2,010.00","2,023.20","2,031.13","27,234","5,53,15,857.85","3,346","18,379","67.49"
"ZYDUSWELL","EQ","13-Dec-2024","2,023.20","2,020.00","2,032.45","1,985.65","2,010.10","2,011.95","2,007.89","20,032","4,02,22,088.50","5,248","6,783","33.86"
"ZYDUSWELL","EQ","16-Dec-2024","2,011.95","2,012.00","2,066.15","2,011.95","2,045.00","2,044.60","2,047.45","24,808","5,07,93,167.50","5,764","10,591","42.69"
"ZYDUSWELL","EQ","17-Dec-2024","2,044.60","2,070.00","2,080.00","1,982.50","1,992.00","1,990.75","2,027.10","1,07,263","21,74,32,686.45","4,008","96,873","90.31"
"ZYDUSWELL","EQ","18-Dec-2024","1,990.75","1,980.60","2,008.50","1,974.85","1,990.00","1,987.30","1,990.36","11,129","2,21,50,726.70","3,118","4,207","37.80"
"ZYDUSWELL","EQ","19-Dec-2024","1,987.30","1,969.20","1,990.35","1,954.10","1,989.95","1,970.70","1,975.11","16,559","3,27,05,819.85","4,580","8,258","49.87"
"ZYDUSWELL","EQ","20-Dec-2024","1,970.70","1,977.00","2,002.80","1,895.00","1,913.70","1,911.35","1,950.17","33,112","6,45,73,943.90","5,827","11,829","35.72"
"ZYDUSWELL","EQ","23-Dec-2024","1,911.35","1,897.45","1,932.00","1,885.05","1,898.00","1,897.40","1,899.73","13,137","2,49,56,731.65","3,495","6,861","52.23"
"ZYDUSWELL","EQ","24-Dec-2024","1,897.40","1,882.00","1,913.00","1,882.00","1,913.00","1,909.70","1,904.52","8,044","1,53,19,959.50","1,364","4,862","60.44"
"ZYDUSWELL","EQ","26-Dec-2024","1,909.70","1,922.15","1,928.95","1,894.35","1,900.00","1,899.65","1,901.96","19,356","3,68,14,316.90","2,401","15,314","79.12"
